Id,degree,group
1034409277551796224,125,1
1029748542141812736,106,1
965424740411346944,104,1
867183053340377089,86,1
2584001503,73,3
252619912,69,2
226768645,67,2
1037780362632613891,63,2
203498890,63,2
4821373264,61,3
257776071,54,2
976913717093953537,51,1
1551694598518480898,49,3
866366184916209665,44,3
794938164641198084,37,3
1230490254282514442,31,3
2924295729,31,2
3518869515,30,0
628754597,29,0
3001825543,29,3
1175892442823966730,28,1
2605552148,28,3
1240726521200943104,28,0
1418400805573599235,25,3
1243708484782370816,24,3
1163950164144513024,23,3
1505546373227335684,21,1
1000919571916828672,20,3
39107721,19,0
2698932008,18,3
363483558,17,0
1018525566897655813,16,3
101861970,16,0
1009173895067439104,16,3
1060322388624265219,15,3
835484080758226945,15,1
1153069555880747010,15,3
55903101,15,0
2195881435,15,3
1091638984458018816,14,3
1183513236303425537,13,1
1572537050703826944,11,1
4892533193,11,3
1088404295911915520,10,3
400296688,10,3
1318153122619981826,9,3
1021577345772204034,9,3
4520040333,9,3
2236186962,8,3
377522515,8,3
920667189031694338,8,1
744616518860832768,8,3
1121239848717828096,8,3
1394638209259352067,7,3
461654047,7,3
139881077,7,0
1176133459045179393,7,3
1291151173823668225,7,3
1384618311409934336,7,1
2978981145,7,0
3327573316,7,0
1058498204415782912,7,3
1060977620861497344,7,3
1172941663767019521,7,1
480437213,7,2
128603117,7,2
753222229329055749,6,3
1507147010771726346,6,1
778261403752955906,6,3
1379437790761517061,6,2
2709883959,6,1
2741090871,6,1
2255038029,6,2
1024849250772045824,6,3
978005736918863872,6,1
1059252857902370816,6,3
1108215428797599744,6,3
1176083128949051395,6,1
817919240703451136,6,3
168664766,6,2
3063648453,6,2
2306908359,6,2
1404953474434015232,6,1
1528326871,6,2
4601787622,6,1
3050936841,6,2
1229110016,6,0
745383181,6,2
1002013325713199104,6,3
171996451,6,2
111435783,6,1
1045518712789446656,6,1
248298308,6,0
57815946,6,1
3015033700,6,0
947162324250570752,6,3
770783278878031872,6,2
896156271526674432,6,3
1057826456741523458,6,3
3290194863,6,2
325773232,6,2
358270342,6,2
1425897937,6,2
1211423189701545985,6,2
3590688737,6,2
1071077769877094400,6,3
1024742744642732034,6,2
37798894,6,1
2261060632,5,2
1563127120401817600,5,1
228850713,5,2
2247879205,5,1
2313873457,5,0
1433921535899734018,5,1
1267394286624083969,5,2
774300051468320768,5,1
15413333,5,0
1137920328871661568,5,1
48133223,5,2
914356071459950592,5,1
1301534209643876352,5,3
1284952927979933696,5,1
1140673951699537920,5,1
1009949833812217856,5,1
191198827,5,1
257924716,5,2
1307743919606845440,5,1
1025325786369347584,5,3
1388246945572048898,5,3
4462572689,5,3
1282881743989755907,5,1
720419957478010880,5,1
237899927,5,2
1328096336558886918,5,3
1091187407247024128,5,1
1233901032796758016,5,1
1057745356375629824,5,1
168244426,5,2
741391364143915008,5,0
188826252,5,2
761016641245372416,5,1
108433641,5,1
2893434615,5,2
1033910643269754882,5,3
1144213942748815361,5,1
71863061,5,1
237307167,5,0
1465209825797840902,5,1
892800796995268608,5,1
180035389,5,2
328052033,5,2
29850971,5,2
2361220447,5,0
3043348835,5,3
2714625894,5,1
987508136155246592,5,2
796479048671260672,5,2
1010876670872612864,5,2
1337641187168169985,5,2
1038579844433555456,5,3
977262368303525891,5,1
1185205393091375106,5,1
858368164937314305,5,1
1029808617749393410,5,2
88722323,5,2
919002221815181317,5,1
1349392673011101703,5,1
1146303908,5,2
785623737525764096,5,0
349896619,5,2
1496026380,5,3
1113353652,5,1
829947270,5,2
83942840,5,2
1021593485906984961,5,1
2415018961,5,1
86409687,5,2
286020568,5,2
124037607,5,3
1128635046431211522,5,1
238241780,5,1
2275048962,5,2
2602176509,5,2
375131663,4,3
1381073386340777987,4,3
1151151296092577792,4,2
