source,target
1088404295911915520,1551694598518480898
1088404295911915520,794938164641198084
1088404295911915520,897621394602823681
1088404295911915520,1291151173823668225
1088404295911915520,753222229329055749
1088404295911915520,400296688
1088404295911915520,1139189432412770304
1088404295911915520,1009173895067439104
1088404295911915520,1059252857902370816
1088404295911915520,1153069555880747010
1183513236303425537,1551694598518480898
1183513236303425537,965424740411346944
1183513236303425537,1000919571916828672
1183513236303425537,1018525566897655813
1183513236303425537,914356071459950592
1183513236303425537,1418400805573599235
1183513236303425537,1465209825797840902
1183513236303425537,851555645522411520
1183513236303425537,1175892442823966730
1183513236303425537,927691402871558144
1183513236303425537,835484080758226945
1183513236303425537,1029748542141812736
1183513236303425537,1505546373227335684
1551694598518480898,1229110016
1551694598518480898,101861970
1551694598518480898,2698932008
1551694598518480898,1060322388624265219
1551694598518480898,1572537050703826944
1551694598518480898,2584001503
1551694598518480898,867183053340377089
1551694598518480898,1505546373227335684
1551694598518480898,39107721
1551694598518480898,2924295729
1551694598518480898,1394638209259352067
1551694598518480898,976913717093953537
1551694598518480898,4892533193
1551694598518480898,1018525566897655813
1551694598518480898,1175892442823966730
1551694598518480898,226768645
1551694598518480898,835484080758226945
1551694598518480898,2195881435
1551694598518480898,3327573316
1551694598518480898,363483558
1551694598518480898,1037780362632613891
1551694598518480898,203498890
1551694598518480898,252619912
1551694598518480898,257776071
1551694598518480898,248298308
1551694598518480898,1060977620861497344
1551694598518480898,3001825543
1551694598518480898,1029748542141812736
1551694598518480898,1009173895067439104
1551694598518480898,1163950164144513024
1551694598518480898,1033910643269754882
1551694598518480898,1153069555880747010
1551694598518480898,965424740411346944
1551694598518480898,1034409277551796224
1551694598518480898,794938164641198084
1551694598518480898,1000919571916828672
1551694598518480898,744616518860832768
1551694598518480898,866366184916209665
1551694598518480898,1418400805573599235
1551694598518480898,55903101
1551694598518480898,1230490254282514442
1551694598518480898,4821373264
1551694598518480898,1243708484782370816
1551694598518480898,3518869515
1551694598518480898,1240726521200943104
1551694598518480898,2605552148
1551694598518480898,628754597
1060322388624265219,749465651392241664
1060322388624265219,1384618311409934336
1060322388624265219,747872014208229376
1060322388624265219,375131663
1060322388624265219,2584001503
1060322388624265219,1001891389402238977
1060322388624265219,1225236628786044929
1060322388624265219,1034409277551796224
1060322388624265219,912805771032895488
1060322388624265219,3043348835
1060322388624265219,1005089984360087552
1060322388624265219,1307743919606845440
1060322388624265219,39107721
1060322388624265219,896156271526674432
1572537050703826944,1153069555880747010
1572537050703826944,1018525566897655813
1572537050703826944,4821373264
1572537050703826944,1176083128949051395
1572537050703826944,976913717093953537
1572537050703826944,965424740411346944
1572537050703826944,1034409277551796224
1572537050703826944,1507147010771726346
1572537050703826944,2584001503
1572537050703826944,1243708484782370816
867183053340377089,1018525566897655813
867183053340377089,1307743919606845440
867183053340377089,1225236628786044929
867183053340377089,4821373264
867183053340377089,1428000137767489543
867183053340377089,1282881743989755907
867183053340377089,237307167
867183053340377089,1147976796572459014
867183053340377089,1384618311409934336
867183053340377089,4601787622
867183053340377089,919002221815181317
867183053340377089,4520040333
867183053340377089,1451739298722729986
867183053340377089,912805771032895488
867183053340377089,1113048665604743169
867183053340377089,1284952927979933696
867183053340377089,2247879205
867183053340377089,1113353652
867183053340377089,1404953474434015232
867183053340377089,978005736918863872
867183053340377089,785623737525764096
867183053340377089,1349392673011101703
867183053340377089,37798894
867183053340377089,111435783
867183053340377089,753222229329055749
867183053340377089,2978981145
867183053340377089,1140673951699537920
867183053340377089,1163950164144513024
867183053340377089,977262368303525891
867183053340377089,947162324250570752
867183053340377089,964925181545328641
867183053340377089,1233901032796758016
867183053340377089,1144213942748815361
867183053340377089,108433641
867183053340377089,1121239848717828096
867183053340377089,1072642403671121921
867183053340377089,912631294114312192
867183053340377089,534286626
867183053340377089,1185205393091375106
867183053340377089,1134981191373918210
867183053340377089,1152369659615875074
867183053340377089,1176083128949051395
867183053340377089,829328920562524160
867183053340377089,1029748542141812736
867183053340377089,1128635046431211522
867183053340377089,1091187407247024128
867183053340377089,1153806900988973056
867183053340377089,1050404682638786560
867183053340377089,4025517641
867183053340377089,400296688
867183053340377089,796861315
867183053340377089,1113518443201011712
867183053340377089,739264806
867183053340377089,1100112336323600385
867183053340377089,976913717093953537
867183053340377089,2741090871
867183053340377089,4130953066
867183053340377089,707644724996382721
867183053340377089,977254125351178241
867183053340377089,2874463000
867183053340377089,2236186962
867183053340377089,701154343358222336
867183053340377089,238241780
867183053340377089,1045518712789446656
867183053340377089,710965618569310210
867183053340377089,1034409277551796224
867183053340377089,1021593485906984961
867183053340377089,3047914591
867183053340377089,915535605211320320
867183053340377089,920667189031694338
867183053340377089,710916597859352581
867183053340377089,4085818709
867183053340377089,892800796995268608
867183053340377089,830433483029876736
867183053340377089,858368164937314305
867183053340377089,711619102817837056
867183053340377089,2709883959
867183053340377089,965424740411346944
867183053340377089,774300051468320768
867183053340377089,720419957478010880
867183053340377089,2415018961
867183053340377089,761016641245372416
867183053340377089,139881077
867183053340377089,57815946
867183053340377089,71863061
1505546373227335684,2584001503
1505546373227335684,914356071459950592
1505546373227335684,1060977620861497344
1505546373227335684,1465209825797840902
1505546373227335684,1418400805573599235
1505546373227335684,4821373264
1505546373227335684,1000919571916828672
1505546373227335684,976913717093953537
1505546373227335684,1018525566897655813
1505546373227335684,1172941663767019521
1505546373227335684,1175892442823966730
1505546373227335684,1433921535899734018
1505546373227335684,2714625894
1505546373227335684,1144213942748815361
1505546373227335684,835484080758226945
1505546373227335684,2741090871
1505546373227335684,1029748542141812736
1505546373227335684,965424740411346944
1505546373227335684,1507147010771726346
1394638209259352067,749465651392241664
1394638209259352067,124037607
1394638209259352067,1163950164144513024
1394638209259352067,3043348835
1394638209259352067,3867802757
1394638209259352067,2361220447
976913717093953537,1009949833812217856
976913717093953537,1433921535899734018
976913717093953537,1379579323062046720
976913717093953537,1384618311409934336
976913717093953537,720419957478010880
976913717093953537,2978981145
976913717093953537,919002221815181317
